순번,id,slug,first_episode,pattern_ko,english,examples
27,"896","boda","7","~보다","than ~","[{""en"":""This one is tastier than that one."",""ko"":""이게 저것보다 맛있어요.""},{""en"":""Korean is harder than English."",""ko"":""한국어가 영어보다 어려워요.""},{""en"":""Today is better than yesterday!"",""ko"":""오늘이 어제보다 좋아요!""}]"
28,"784","sseobwasseoyo","8","~써봤어요?","Have you tried ~?","[{""en"":""Have you tried this serum?"",""ko"":""이 세럼 써봤어요?""},{""en"":""Have you tried this app?"",""ko"":""이 앱 써봤어요?""},{""en"":""Have you tried Korean cosmetics?"",""ko"":""한국 화장품 써봤어요?""}]"
29,"785","eotteon-ge-joayo","8","~어떤 게 좋아요?","Which ~ do you like?","[{""en"":""Which color do you like?"",""ko"":""어떤 색이 좋아요?""},{""en"":""Which style do you like?"",""ko"":""어떤 스타일이 좋아요?""},{""en"":""Which one is tastier?"",""ko"":""어떤 게 더 맛있어요?""}]"
30,"1301","geona","8","-거나","or (with verbs)","[{""en"":""On weekends I watch movies or read books."",""ko"":""주말에는 영화를 보거나 책을 읽어요.""},{""en"":""If you're tired or sick, take a rest."",""ko"":""힘들거나 아프면 쉬세요.""},{""en"":""I take the bus or walk."",""ko"":""버스를 타거나 걸어서 가요.""}]"
31,"786","saenggak-boda","9","생각보다 ~해요","It's more ~ than I expected.","[{""en"":""It's tastier than I expected!"",""ko"":""생각보다 맛있어요!""},{""en"":""It's not as hard as I thought."",""ko"":""생각보다 어렵지 않아요.""},{""en"":""It's faster than I expected!"",""ko"":""생각보다 빨라요!""}]"
32,"787","da-gachi-isseoseo-joayo","9","다 같이 있어서 좋아요","I'm happy we're all together.","[{""en"":""I'm so happy we're all together!"",""ko"":""다 같이 있어서 좋아요!""},{""en"":""I'm happy to be together with my whole family."",""ko"":""가족이랑 다 같이 있어서 좋아요.""},{""en"":""It's great to be together with all my friends!"",""ko"":""친구들이랑 다 같이 있어서 좋아요!""}]"
33,"788","imi-haeyo","9","이미 ~해요","I already ~.","[{""en"":""I already ate."",""ko"":""이미 먹었어요.""},{""en"":""I already knew!"",""ko"":""이미 알고 있었어요!""},{""en"":""I already made a reservation."",""ko"":""이미 예약했어요.""}]"
34,"1384","cheoreom","9","~처럼","like; as if","[{""en"":""You speak like a Korean."",""ko"":""한국 사람처럼 말해요.""},{""en"":""It's pretty like a petal."",""ko"":""꽃잎처럼 예뻐요.""},{""en"":""Let's meet like yesterday."",""ko"":""어제처럼 만나요.""}]"
35,"789","tteollyeoyo","10","떨려요","I'm nervous.","[{""en"":""I'm nervous because it's my first presentation."",""ko"":""첫 발표라서 떨려요.""},{""en"":""I'm so nervous — will it be okay?"",""ko"":""너무 떨려요, 괜찮을까요?""},{""en"":""My heart is pounding — I'm so nervous!"",""ko"":""심장이 두근두근해요, 떨려요!""}]"
36,"790","eseo-wasseoyo","10","~에서 왔어요","I'm from ~.","[{""en"":""I'm from the United States."",""ko"":""미국에서 왔어요.""},{""en"":""I'm from Seoul."",""ko"":""서울에서 왔어요.""},{""en"":""I'm from Busan."",""ko"":""부산에서 왔어요.""}]"
37,"791","jal-butakdeuryeoyo","10","잘 부탁드려요","I look forward to it.","[{""en"":""Please take care of me!"",""ko"":""잘 부탁드려요!""},{""en"":""I look forward to working with you."",""ko"":""앞으로 잘 부탁드려요.""},{""en"":""Please take care of me today!"",""ko"":""오늘 잘 부탁드려요!""}]"
38,"1333","seumnida","10","-습니다","formal statement ending","[{""en"":""Nice to meet you."",""ko"":""처음 뵙겠습니다.""},{""en"":""I'm from the United States."",""ko"":""미국에서 왔습니다.""},{""en"":""Thank you."",""ko"":""감사합니다.""}]"
39,"798","tayo","11","~타요","I'm taking the ~.","[{""en"":""Take Line 2!"",""ko"":""2호선 타요!""},{""en"":""Take the bus."",""ko"":""버스 타요.""},{""en"":""Take a taxi."",""ko"":""택시 타요.""}]"
40,"799","naeryeoyo","11","~에서 내려요","I get off at ~.","[{""en"":""Get off at Hongik University Station."",""ko"":""홍대입구역에서 내려요.""},{""en"":""Get off at the next stop."",""ko"":""다음 정류장에서 내려요.""},{""en"":""Get off here!"",""ko"":""여기서 내려요!""}]"
41,"800","kkaji-ga-juseyo","11","~까지 가 주세요","Please take me to ~.","[{""en"":""Please take me to Hongdae."",""ko"":""홍대까지 가 주세요.""},{""en"":""Please take me to the airport."",""ko"":""공항까지 가 주세요.""},{""en"":""Please take me to Myeongdong."",""ko"":""명동까지 가 주세요.""}]"
42,"1351","eusipsio","11","-으십시오","formal command","[{""en"":""Please wait a moment."",""ko"":""잠시만 기다리십시오.""},{""en"":""Please stand behind the safety line."",""ko"":""안전선 안쪽으로 서 주십시오.""},{""en"":""Please have a seat."",""ko"":""편히 앉으십시오.""}]"
43,"1378","eseobuteo","11","~에서부터","starting from (a place)","[{""en"":""I walked starting from here."",""ko"":""여기에서부터 걸어갔어요.""},{""en"":""I came all the way from Seoul."",""ko"":""서울에서부터 왔어요.""},{""en"":""Let's start over from the very beginning."",""ko"":""처음에서부터 다시 해요.""}]"
44,"801","deol-ge-hae-juseyo","12","덜 ~게 해 주세요","Please make it less ~.","[{""en"":""Please make it less spicy."",""ko"":""덜 맵게 해 주세요.""},{""en"":""Please make it less sweet."",""ko"":""덜 달게 해 주세요.""},{""en"":""Please make it less salty."",""ko"":""덜 짜게 해 주세요.""}]"
45,"802","ripil-dwaeyo","12","~리필 돼요?","Can I get a refill of ~?","[{""en"":""Can I get a refill of kimchi?"",""ko"":""김치 리필 돼요?""},{""en"":""Can I get a refill of side dishes?"",""ko"":""반찬 리필 돼요?""},{""en"":""Can I get a refill of water?"",""ko"":""물 리필 돼요?""}]"
46,"1372","man","12","~만","only; just","[{""en"":""Just water, please."",""ko"":""물만 주세요.""},{""en"":""Just a little, please."",""ko"":""조금만 주세요.""},{""en"":""I was the only one who didn't know."",""ko"":""저만 몰랐어요.""}]"
47,"803","e-mwo-haeyo","13","~에 뭐 해요?","What are you doing on ~?","[{""en"":""What are you doing this weekend?"",""ko"":""주말에 뭐 해요?""},{""en"":""What are you doing tonight?"",""ko"":""오늘 저녁에 뭐 해요?""},{""en"":""What are you doing next week?"",""ko"":""다음 주에 뭐 해요?""}]"
48,"804","gachi-llaeyo","13","같이 ~ㄹ래요?","Shall we ~ together?","[{""en"":""Do you want to eat together?"",""ko"":""같이 밥 먹을래요?""},{""en"":""Do you want to watch a movie together?"",""ko"":""같이 영화 볼래요?""},{""en"":""Do you want to take a walk together?"",""ko"":""같이 산책할래요?""}]"
49,"805","jogeum-neujeul-geot-gatayo","13","조금 늦을 것 같아요","I think I'll be a little late.","[{""en"":""I think I'll be a little late."",""ko"":""조금 늦을 것 같아요.""},{""en"":""I think I'll be 10 minutes late."",""ko"":""10분 늦을 것 같아요.""},{""en"":""I think I'll be quite late — sorry."",""ko"":""많이 늦을 것 같아요, 미안해요.""}]"
50,"1365","jamaja","13","-자마자","as soon as","[{""en"":""I'll go as soon as class ends."",""ko"":""수업 끝나자마자 갈게요.""},{""en"":""I called as soon as I arrived."",""ko"":""도착하자마자 연락했어요.""},{""en"":""I knew the moment I saw it."",""ko"":""보자마자 알았어요.""}]"
51,"806","gireul-ilheosseoyo","14","길을 잃었어요","I'm lost.","[{""en"":""I'm lost, please help me."",""ko"":""길을 잃었어요, 도와주세요.""},{""en"":""I'm lost — where is Hongdae?"",""ko"":""길을 잃었어요, 홍대가 어디예요?""},{""en"":""I'm lost — can I look at your map?"",""ko"":""길을 잃었어요, 지도 좀 봐도 돼요?""}]"
52,"807","jjuk-gamyeon","14","쭉 가면 돼요","Just go straight.","[{""en"":""Just go straight."",""ko"":""쭉 가면 돼요.""},{""en"":""Just go straight down this road."",""ko"":""이 길로 쭉 가면 돼요.""},{""en"":""If you go straight, there's a café."",""ko"":""쭉 가면 카페가 있어요.""}]"
53,"808","kkeokkeumyeon","14","~으로 꺾으면 돼요","Turn ~.","[{""en"":""Turn right over there."",""ko"":""저기서 오른쪽으로 꺾으면 돼요.""},{""en"":""Turn left at the traffic light."",""ko"":""신호등에서 왼쪽으로 꺾으면 돼요.""},{""en"":""Turn right at the convenience store."",""ko"":""편의점에서 오른쪽으로 꺾으면 돼요.""}]"
54,"1348","eureo-gada","14","-으러 가다","go in order to","[{""en"":""Let's go eat."",""ko"":""밥 먹으러 가요.""},{""en"":""I came to meet a friend."",""ko"":""친구 만나러 왔어요.""},{""en"":""I went to the bookstore to buy a book."",""ko"":""책 사러 서점에 갔어요.""}]"
55,"809","bwasseoyo","15","~봤어요?","Have you tried ~?","[{""en"":""Have you tried sundae?"",""ko"":""순대 먹어봤어요?""},{""en"":""Have you been to Jeju Island?"",""ko"":""제주도에 가봤어요?""},{""en"":""Have you watched a Korean drama?"",""ko"":""한국 드라마 봤어요?""}]"
56,"810","jaemiisseoyo","15","재미있어요","It's fun.","[{""en"":""This drama is really fun!"",""ko"":""이 드라마 진짜 재미있어요!""},{""en"":""Studying Korean is interesting."",""ko"":""한국어 공부가 재미있어요.""},{""en"":""It's hard but fun!"",""ko"":""어렵지만 재미있어요!""}]"
57,"811","gangchu-yeyo","15","강추예요","I highly recommend it.","[{""en"":""I highly recommend this café!"",""ko"":""이 카페 강추예요!""},{""en"":""I highly recommend this drama!"",""ko"":""이 드라마 강추예요!""},{""en"":""I highly recommend this food!"",""ko"":""이 음식 강추예요!""}]"
58,"1377","ege-hante","15","~에게/한테","to (a person)","[{""en"":""I gave a gift to my friend."",""ko"":""친구에게 선물을 줬어요.""},{""en"":""Ask me."",""ko"":""저한테 물어보세요.""},{""en"":""I told my younger sibling."",""ko"":""동생한테 말했어요.""}]"
59,"812","nalssi-eottaeyo","16","~날씨 어때요?","How's the weather in ~?","[{""en"":""What's the weather like today?"",""ko"":""오늘 날씨 어때요?""},{""en"":""What's the weather like in Seoul?"",""ko"":""서울 날씨 어때요?""},{""en"":""What's the weather like tomorrow?"",""ko"":""내일 날씨 어때요?""}]"
60,"813","ol-geot-gatayo","16","~올 것 같아요","It looks like ~ is coming.","[{""en"":""It looks like it's going to snow."",""ko"":""눈 올 것 같아요.""},{""en"":""It looks like it's going to rain."",""ko"":""비 올 것 같아요.""},{""en"":""It looks like a shower is coming soon."",""ko"":""곧 소나기 올 것 같아요.""}]"
61,"1304","get","16","-겠-","will; must be; looks like","[{""en"":""It'll probably rain tomorrow."",""ko"":""내일은 비가 오겠어요.""},{""en"":""Wow, that looks delicious!"",""ko"":""와, 맛있겠어요!""},{""en"":""I'll do it."",""ko"":""제가 하겠습니다.""}]"
62,"1350","eumyeonseo","16","-으면서","while ~ing","[{""en"":""I walk while listening to music."",""ko"":""음악을 들으면서 걸어요.""},{""en"":""We talked over coffee."",""ko"":""커피를 마시면서 이야기했어요.""},{""en"":""She said it with a smile."",""ko"":""웃으면서 말했어요.""}]"
63,"816","yak-isseoyo","17","~약 있어요?","Do you have medicine for ~?","[{""en"":""Do you have headache medicine?"",""ko"":""두통약 있어요?""},{""en"":""Do you have digestive medicine?"",""ko"":""소화제 있어요?""},{""en"":""Do you have cold medicine?"",""ko"":""감기약 있어요?""}]"
64,"817","an-meokneun-ge-naayo","17","안 먹는 게 나아요","You'd better not eat it.","[{""en"":""It's better not to eat spicy food."",""ko"":""매운 거 안 먹는 게 나아요.""},{""en"":""It's better not to eat late."",""ko"":""늦게 안 먹는 게 나아요.""},{""en"":""It's better not to eat greasy food."",""ko"":""기름진 거 안 먹는 게 나아요.""}]"
65,"1349","eumyeon-an-doeda","17","-으면 안 되다","must not; shouldn't","[{""en"":""You mustn't take photos here."",""ko"":""여기서 사진 찍으면 안 돼요.""},{""en"":""You shouldn't overdo it."",""ko"":""무리하시면 안 돼요.""},{""en"":""You can't throw this away here."",""ko"":""이건 여기 버리면 안 돼요.""}]"
66,"1387","hanteseo","17","~한테서","from (a person)","[{""en"":""I heard it from a friend."",""ko"":""친구한테서 들었어요.""},{""en"":""I got it from my older sister."",""ko"":""언니한테서 받았어요.""},{""en"":""Who did you learn it from?"",""ko"":""누구한테서 배웠어요?""}]"
67,"818","chwimi-mwoyeyo","18","취미가 뭐예요?","What are your hobbies?","[{""en"":""What are your hobbies?"",""ko"":""취미가 뭐예요?""},{""en"":""What are your hobbies these days?"",""ko"":""요즘 취미가 뭐예요?""},{""en"":""What are your hobbies? Mine is photography!"",""ko"":""취미가 뭐예요? 저는 사진이에요!""}]"
68,"819","jeodoyo","18","저도요","Me too.","[{""en"":""Me too! I love K-pop too!"",""ko"":""저도요! 저도 케이팝 좋아요!""},{""en"":""Me too — it's really delicious!"",""ko"":""저도요, 진짜 맛있어요!""},{""en"":""Me too! Let's go together!"",""ko"":""저도요! 같이 가요!""}]"
69,"820","byeolloyeyo","18","~별로예요","It's not that great.","[{""en"":""I don't really like spicy food."",""ko"":""매운 거 별로예요.""},{""en"":""I don't really like this style."",""ko"":""이 스타일 별로예요.""},{""en"":""This drama isn't really my thing."",""ko"":""이 드라마 별로예요.""}]"
70,"1371","mada","18","~마다","every","[{""en"":""I hike every weekend."",""ko"":""주말마다 등산해요.""},{""en"":""Culture differs from country to country."",""ko"":""나라마다 문화가 달라요.""},{""en"":""Everyone has their own taste."",""ko"":""사람마다 취향이 있어요.""}]"
71,"821","yumyeong-mwoyeyo","19","여기서 유명한 게 뭐예요?","What's this place famous for?","[{""en"":""What food is this place famous for?"",""ko"":""여기서 유명한 음식이 뭐예요?""},{""en"":""What is this neighborhood famous for?"",""ko"":""이 동네에서 유명한 게 뭐예요?""},{""en"":""What are the famous tourist spots in Korea?"",""ko"":""한국에서 유명한 관광지가 뭐예요?""}]"
72,"822","sajin-jjigeoyo","19","같이 사진 찍어요","Let's take a photo together.","[{""en"":""Let's take a photo together!"",""ko"":""같이 사진 찍어요!""},{""en"":""Let's take a photo together in front of Gyeongbokgung!"",""ko"":""경복궁 앞에서 같이 사진 찍어요!""},{""en"":""Let's take a photo here together!"",""ko"":""여기서 같이 사진 찍어요!""}]"
73,"823","sajin-nawasseoyo","19","사진이 잘 나왔어요?","Did the photo turn out well?","[{""en"":""Did the photo turn out well?"",""ko"":""사진이 잘 나왔어요?""},{""en"":""Did the selfie turn out well?"",""ko"":""셀카 잘 나왔어요?""},{""en"":""The photo turned out great — you look pretty!"",""ko"":""사진 잘 나왔어요, 예뻐요!""}]"
74,"1370","kkeseo","19","~께서","subject marker (honorific)","[{""en"":""The teacher has arrived."",""ko"":""선생님께서 오셨어요.""},{""en"":""My grandmother made it."",""ko"":""할머니께서 만들어 주셨어요.""},{""en"":""The boss is calling for you."",""ko"":""사장님께서 부르세요.""}]"
75,"824","oraenmanieyo","20","오랜만이에요","Long time no see.","[{""en"":""It's been a while! How have you been?"",""ko"":""오랜만이에요! 잘 지냈어요?""},{""en"":""Sophie! Long time no see!"",""ko"":""소피! 오랜만이에요!""},{""en"":""It's been a while — I missed you!"",""ko"":""오랜만이에요, 보고 싶었어요!""}]"
76,"825","jal-jinaesseoyo","20","잘 지냈어요?","How have you been?","[{""en"":""Have you been well?"",""ko"":""잘 지냈어요?""},{""en"":""Have you been well lately?"",""ko"":""요즘 잘 지냈어요?""},{""en"":""Have you been well? Were you very busy?"",""ko"":""잘 지냈어요? 많이 바빴어요?""}]"
77,"826","daeume-bwayo","20","다음에 또 봐요","See you again next time.","[{""en"":""Let's meet again soon!"",""ko"":""다음에 또 봐요!""},{""en"":""We definitely have to meet again!"",""ko"":""꼭 다음에 또 봐요!""},{""en"":""See you again — today was really fun!"",""ko"":""다음에 또 봐요, 오늘 즐거웠어요!""}]"
78,"1353","eun-ji","20","-은 지","since (time elapsed)","[{""en"":""It's been six months since I came to Korea."",""ko"":""한국에 온 지 6개월 됐어요.""},{""en"":""I haven't been learning long."",""ko"":""배운 지 얼마 안 됐어요.""},{""en"":""It's been a long time since we met."",""ko"":""만난 지 오래됐어요.""}]"
79,"828","eottaesseo","21","~어땠어?","How was ~?","[{""en"":""How was the Han River?"",""ko"":""한강 어땠어?""},{""en"":""How was the exam?"",""ko"":""시험 어땠어?""},{""en"":""How was the first day?"",""ko"":""첫날 어땠어?""}]"
80,"829","cheoeumieonneunde","21","처음이었는데","It was my first time, but ~","[{""en"":""It was my first time, but it was really delicious!"",""ko"":""처음이었는데 진짜 맛있었어!""},{""en"":""It was my first time, but it was easier than I thought."",""ko"":""처음이었는데 생각보다 쉬웠어.""},{""en"":""It was my first time, but I want to go again!"",""ko"":""처음이었는데 또 가고 싶어!""}]"
81,"1324","ni-eomi","21","-니?","casual question ending","[{""en"":""Did you eat?"",""ko"":""밥 먹었니?""},{""en"":""Where are you going?"",""ko"":""어디 가니?""},{""en"":""Are you okay?"",""ko"":""괜찮니?""}]"
82,"1334","at-eot","21","-았/었-","past tense","[{""en"":""I met a friend yesterday."",""ko"":""어제 친구를 만났어요.""},{""en"":""I ate."",""ko"":""밥을 먹었어요.""},{""en"":""It was fun."",""ko"":""재미있었어요.""}]"
83,"830","geot-gatayo","22","~것 같아요","I think ~ / It seems ~","[{""en"":""It seems like it'll be delicious!"",""ko"":""맛있을 것 같아요!""},{""en"":""It seems like it'll be difficult."",""ko"":""어려울 것 같아요.""},{""en"":""It seems like it's famous."",""ko"":""유명한 것 같아요.""}]"
84,"831","na-bwayo","22","~나 봐요","It seems like ~ / I guess ~","[{""en"":""It must be delicious — the line is long!"",""ko"":""맛있나 봐요, 줄이 길어요!""},{""en"":""It must be famous."",""ko"":""유명한가 봐요.""},{""en"":""They must be busy."",""ko"":""바쁜가 봐요.""}]"
85,"1311","na-sipda","22","-나 싶다","wonder if; think maybe","[{""en"":""I wonder if it's too late."",""ko"":""너무 늦었나 싶어요.""},{""en"":""I think maybe I made a mistake."",""ko"":""제가 실수했나 싶어요.""},{""en"":""I'm not sure if this is right."",""ko"":""이게 맞나 싶어요.""}]"
86,"1360","eulgeol","22","-을걸","probably; should have","[{""en"":""It's probably closed."",""ko"":""아마 문 닫았을걸.""},{""en"":""I should have said something then."",""ko"":""그때 말할걸.""},{""en"":""I should have booked in advance."",""ko"":""미리 예약할걸 그랬어요.""}]"
87,"833","haeya-hae","23","~해야 해","I have to ~ / You have to ~","[{""en"":""You have to study now!"",""ko"":""지금 공부해야 해!""},{""en"":""You have to eat."",""ko"":""밥 먹어야 해.""},{""en"":""You absolutely have to go!"",""ko"":""꼭 가야 해!""}]"
88,"834","haji-ma","23","~하지 마","Don't ~.","[{""en"":""Don't worry!"",""ko"":""걱정하지 마!""},{""en"":""Don't be late!"",""ko"":""늦지 마!""},{""en"":""Don't give up!"",""ko"":""포기하지 마!""}]"
89,"835","itji-ma","23","~잊지 마","Don't forget ~.","[{""en"":""Don't forget your phone!"",""ko"":""핸드폰 잊지 마!""},{""en"":""Don't forget our appointment!"",""ko"":""약속 잊지 마!""},{""en"":""Don't forget your umbrella!"",""ko"":""우산 잊지 마!""}]"
90,"1331","dorok","23","-도록","so that; to the point of","[{""en"":""I left early so I wouldn't be late."",""ko"":""늦지 않도록 일찍 출발했어요.""},{""en"":""I wrote it big so it's easy to see."",""ko"":""잘 보이도록 크게 썼어요.""},{""en"":""I sang until my throat hurt."",""ko"":""목이 아프도록 노래했어요.""}]"
91,"836","eotteoke-saenggak","24","~어떻게 생각해요?","What do you think about ~?","[{""en"":""What do you think about Korean food?"",""ko"":""한국 음식 어떻게 생각해요?""},{""en"":""What do you think about this drama?"",""ko"":""이 드라마 어떻게 생각해요?""},{""en"":""What do you think about my plan?"",""ko"":""제 계획 어떻게 생각해요?""}]"
92,"837","matneun-marieyo","24","맞는 말이에요","That's a good point.","[{""en"":""That's a good point. I think so too."",""ko"":""맞는 말이에요, 저도 그렇게 생각해요.""},{""en"":""That's a good point, but I see it differently."",""ko"":""맞는 말이에요, 근데 저는 달라요.""},{""en"":""That's a valid point!"",""ko"":""그건 맞는 말이에요!""}]"
